--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
047.002  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
047.831  000.198  000.198: require('coverage.config')
048.026  000.195  000.195: require('coverage.signs')
048.175  000.148  000.148: require('coverage.highlight')
048.643  000.140  000.140: require('plenary.bit')
048.784  000.140  000.140: require('plenary.functional')
048.801  000.465  000.186: require('plenary.path')
048.954  000.152  000.152: require('coverage.report')
049.417  000.163  000.163: require('plenary.strings')
049.418  000.319  000.156: require('plenary.window.border')
049.560  000.141  000.141: require('plenary.tbl')
049.561  000.607  000.147: require('plenary.window.float')
049.564  001.388  000.165: require('coverage.summary')
049.702  000.137  000.137: require('coverage.watch')
049.994  000.149  000.149: require('coverage.languages.common')
050.153  000.158  000.158: require('coverage.util')
050.154  000.451  000.145: require('coverage.lcov')
050.156  003.152  000.635: require('coverage')
050.177  000.003  000.003: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.180  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.181  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.183  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.225  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.228  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.229  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.231  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.233  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.234  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.236  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.237  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.239  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.242  000.002  000.002: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.265  000.011  000.011: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.302  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
050.329  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
051.227  000.146  000.146: require('octo.model.body-metadata')
051.375  000.147  000.147: require('octo.model.title-metadata')
051.724  000.188  000.188: require('octo.config')
051.728  000.352  000.164: require('octo.autocmds')
051.867  000.139  000.139: require('octo.constants')
052.003  000.135  000.135: require('octo.folds')
052.298  000.143  000.143: require('octo.gh.fragments')
052.614  000.144  000.144: require('plenary.compat')
052.618  000.318  000.174: require('plenary.job')
052.628  000.625  000.163: require('octo.gh')
052.975  000.191  000.191: require('octo.gh.queries')
053.188  000.212  000.212: require('octo.gh.mutations')
053.189  000.560  000.158: require('octo.gh.graphql')
053.375  000.185  000.185: require('octo.ui.signs')
053.784  000.173  000.173: require('octo.model.comment-metadata')
053.977  000.192  000.192: require('octo.model.thread-metadata')
054.399  000.179  000.179: require('octo.release')
054.539  000.561  000.382: require('octo.utils')
055.006  000.247  000.247: require('octo.ui.colors')
055.028  000.488  000.241: require('octo.ui.bubbles')
055.055  001.679  000.265: require('octo.ui.writers')
055.067  004.159  000.191: require('octo.model.octo-buffer')
055.475  000.147  000.147: require('octo.navigation')
055.612  000.136  000.136: require('octo.picker')
056.240  000.142  000.142: require('octo.reviews.renderer')
056.244  000.295  000.153: require('octo.reviews.file-panel')
056.404  000.159  000.159: require('octo.reviews.file-entry')
056.407  000.629  000.174: require('octo.reviews.layout')
056.546  000.138  000.138: require('octo.reviews.rev')
056.680  000.133  000.133: require('octo.reviews.thread-panel')
056.844  000.163  000.163: require('octo.ui.window')
056.991  000.146  000.146: require('octo.reviews.thread')
056.995  001.382  000.172: require('octo.reviews')
057.001  001.934  000.269: require('octo.commands')
057.151  000.149  000.149: require('octo.completion')
057.154  006.641  000.399: require('octo')
057.404  000.003  000.003: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
057.406  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
057.416  000.009  000.009: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
057.418  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
057.420  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
